Institution,Country,AC,FC
"Rutgers, The State University of New Jersey (RU)","United States of America (USA)",492,133.47084081154
"University of Southern California (USC)","United States of America (USA)",406,132.80060256666
"The Hong Kong University of Science and Technology (HKUST)",China,375,132.51480814999
"Shandong University (SDU)",China,556,132.08576658055
"Scripps Research","United States of America (USA)",270,131.53450417511
"Utrecht University (UU)",Netherlands,653,129.36731821737
"The University of Utah (Utah)","United States of America (USA)",345,128.27186139817
"University of Zurich (UZH)",Switzerland,640,127.77139276643
"University of Florida (UF)","United States of America (USA)",564,127.12131460381
"Hebrew University of Jerusalem (HUJI)",Israel,311,127.00161370194
"Harbin Institute of Technology (HIT)",China,287,126.46976096301
"Hokkaido University",Japan,311,126.39804447585
"Monash University",Australia,538,125.20817416077
"Xi'an Jiaotong University (XJTU)",China,336,124.85248644223
"South China University of Technology (SCUT)",China,308,122.65715918735
"Beijing Normal University (BNU)",China,394,121.81289250428
"National Aeronautics and Space Administration (NASA)","United States of America (USA)",624,121.16397893718
"Lanzhou University (LZU)",China,298,119.98925257424
"Vanderbilt University (VU)","United States of America (USA)",394,118.41115422904
"University of Würzburg (JMU)",Germany,358,117.67300846002
"Emory University","United States of America (USA)",361,116.24253584966
"East China University of Science and Technology (ECUST)",China,271,116.1665458287
"King Abdullah University of Science and Technology (KAUST)","Saudi Arabia",288,115.73994441267
"Indiana University (IU)","United States of America (USA)",400,114.91821206027
"The University of Arizona (Arizona)","United States of America (USA)",419,113.81315242199
"Argonne National Laboratory (ANL)","United States of America (USA)",563,113.30825545821
"Arizona State University (ASU)","United States of America (USA)",384,112.85510395361
"The University of Melbourne (UniMelb)",Australia,577,112.77703980334
"RWTH Aachen University (RWTH Aachen)",Germany,405,111.39903064557
"Kyushu University",Japan,345,109.85017217875
"Uppsala University (UU)",Sweden,474,109.82093857302
"Technion-Israel Institute of Technology (IIT)",Israel,282,109.49321174982
"Nanjing Tech University (NanjingTech)",China,204,107.13408602686
"University of Erlangen-Nuremberg (FAU)",Germany,301,106.62622090987
"University of Groningen (RUG)",Netherlands,401,105.22537195541
"Rice University","United States of America (USA)",415,104.60951512806
"University of Geneva (UNIGE)",Switzerland,361,104.49245320943
"University of Göttingen",Germany,365,104.04673582698
"Australian National University (ANU)",Australia,355,103.33612647699
"Catholic University of Leuven (KU Leuven)",Belgium,362,103.01158795464
"University of California, Riverside (UCR)","United States of America (USA)",332,102.65768693835
"Czech Academy of Sciences (CAS)","Czech Republic",455,102.07632586703
"Dalian University of Technology (DUT)",China,213,101.56376834613
"Free University of Berlin (FU Berlin)",Germany,587,101.47112450931
"The Chinese University of Hong Kong (CUHK)",China,403,100.68108597083
"Sorbonne University",France,1086,99.645047490981
"Pacific Northwest National Laboratory (PNNL)","United States of America (USA)",300,99.059281361379
"Barcelona Institute of Science and Technology (BIST)",Spain,366,98.261473919328
"Boston University (BU)","United States of America (USA)",509,97.855010112149
"The University of Hong Kong (HKU)",China,407,97.677368417854
"Delft University of Technology (TU Delft)",Netherlands,269,97.266723415428
"University of Freiburg (Uni Freiburg)",Germany,313,97.2622388703
"Yonsei University","South Korea",312,97.253824227977
"Zhengzhou University (ZZU)",China,402,97.252676016021
"National Research Council (CNR)",Italy,485,95.58947210316
"Memorial Sloan Kettering Cancer Center (MSKCC)","United States of America (USA)",344,95.40785208909
"University of Alberta (U of A)",Canada,325,94.869547130665
"Karolinska Institute (KI)",Sweden,438,94.269380039816
"University of Basel (UB)",Switzerland,321,93.983588193055
"Dresden University of Technology (TU Dresden)",Germany,461,93.075430004072
"National Institute for Materials Science (NIMS)",Japan,379,92.672686070881
"National Institute of Standards and Technology (NIST)","United States of America (USA)",354,92.650089537086
"University of Virginia (UVA)","United States of America (USA)",324,92.592136515518
"City University of Hong Kong (CityU)",China,310,92.441020200186
"Beijing Institute of Technology (BIT)",China,216,92.261352802666
"Oak Ridge National Laboratory (ORNL)","United States of America (USA)",368,91.980910721716
"Tel Aviv University (TAU)",Israel,304,91.921016134775
"The French Alternative Energies and Atomic Energy Commission (CEA)",France,913,91.593423450311
"Baylor College of Medicine (BCM)","United States of America (USA)",362,91.488279835821
"Central South University (CSU)",China,263,91.483137560375
"Brown University","United States of America (USA)",303,91.177476059012
"Aarhus University (AU)",Denmark,321,91.114492013543
"Los Alamos National Laboratory (LANL)","United States of America (USA)",442,90.971736766901
"University of Massachusetts Amherst (UMass Amherst)","United States of America (USA)",290,90.505524912445
"State University of New York at Stony Brook (SUNY Stony Brook)","United States of America (USA)",360,90.044507458843
"Southeast University (SEU)",China,218,89.532654083193
"Ulsan National Institute of Science and Technology (UNIST)","South Korea",217,88.338879554714
"National Institute for Health and Medical Research (INSERM)",France,1085,88.181495184708
"Institute for Basic Science (IBS)","South Korea",353,88.038320962205
"North Carolina State University (NCSU)","United States of America (USA)",270,88.003794355562
"National Taiwan University (NTU)",Taiwan,343,87.443564254738
"U.S. Department of Defense (DoD)","United States of America (USA)",326,86.850172523715
"Beihang University (BUAA)",China,374,86.745124342186
"The Rockefeller University","United States of America (USA)",247,85.670073562726
"University of Illinois at Chicago (UIC)","United States of America (USA)",321,85.378505469725
"Goethe University Frankfurt (GU)",Germany,298,85.164385400189
"Beijing University of Chemical Technology (BUCT)",China,193,85.076109743893
"University of Tübingen (Uni Tübingen)",Germany,358,84.848473150443
"Pohang University of Science and Technology (POSTECH)","South Korea",243,84.440719062671
"Colorado State University","United States of America (USA)",256,84.284110973351
"University of Leeds","United Kingdom (UK)",291,83.985564041429
"King's College London (KCL)","United Kingdom (UK)",413,83.611024239064
"Stockholm University",Sweden,482,83.398445400811
"Lund University (LU)",Sweden,360,82.582187665775
"Jinan University (JNU)",China,203,82.298204961427
"University of Glasgow","United Kingdom (UK)",417,82.265176880069
"China University of Geosciences (CUG)",China,229,81.744320469835
"Ghent University (UGent)",Belgium,327,81.552217819817
"Shenzhen University (SZU)",China,275,81.525586144968
"Technical University of Denmark (DTU)",Denmark,269,80.733540997789
"Southwest University (SWU)",China,126,79.855465910059
"Iowa State University","United States of America (USA)",245,79.818930587298
"University of Southampton (Soton)","United Kingdom (UK)",347,79.709941762888
"Mount Sinai Health System (MSHS)","United States of America (USA)",324,79.692192319992
"Leiden University",Netherlands,346,79.680744911106
"Durham University","United Kingdom (UK)",278,79.516635105304
"Fuzhou University (FZU)",China,146,78.620135746606
"Michigan State University (MSU)","United States of America (USA)",361,78.571554614248
"University of Hamburg (UHH)",Germany,405,78.127992727066
"The University of Sydney (USYD)",Australia,368,78.100013946437
"University of Amsterdam (UvA)",Netherlands,565,77.887005768079
"Sungkyunkwan University (SKKU)","South Korea",269,77.809840307182
"University of Paris",France,825,77.499064410856
"Academia Sinica",Taiwan,320,77.111539014939
"University of Vienna",Austria,284,76.669488699158
"Indian Institute of Science (IISc)",India,199,76.454846360581
"Johannes Gutenberg University Mainz (JGU)",Germany,356,76.144820632294
"Eindhoven University of Technology (TU/e)",Netherlands,171,76.084185947707
"Brookhaven National Laboratory (BNL)","United States of America (USA)",360,75.825850776109
"Chongqing University (CQU)",China,178,75.630540657149
"The University of Warwick (Warwick)","United Kingdom (UK)",328,75.529707315284
"University of Rochester (UR)","United States of America (USA)",261,75.385138846966
"University of Barcelona (UB)",Spain,388,75.208413076002
"U.S. Geological Survey (USGS)","United States of America (USA)",198,74.732839518874
"People's Liberation Army (PLA)",China,289,73.910934438645
"University of Waterloo",Canada,187,73.522644763006
"National Institute of Advanced Industrial Science and Technology (AIST)",Japan,260,73.447766944294
"Korea University","South Korea",298,73.222329224019
"National Oceanic and Atmospheric Administration (NOAA)","United States of America (USA)",315,71.836203137923
"Florida State University (FSU)","United States of America (USA)",385,71.100616886202
"Virginia Polytechnic Institute and State University (Virginia Tech)","United States of America (USA)",213,71.051909823728
"University of Bern (UniBE)",Switzerland,336,70.929750540052
"Carnegie Mellon University (CMU)","United States of America (USA)",272,70.594358026425
"University of Science and Technology Beijing (USTB)",China,166,70.002512525221
"Polish Academy of Sciences (PAS)",Poland,354,69.775634067051
"Autonomous University of Madrid (UAM)",Spain,382,69.768781203981
"University of California, Santa Cruz (UCSC)","United States of America (USA)",318,69.387687327246
"University of Oregon (UO)","United States of America (USA)",193,69.100501667485
"University of Lausanne (UNIL)",Switzerland,223,68.702811388524
"Agency for Science, Technology and Research (A*STAR)",Singapore,286,68.271740969877
"Queen Mary University of London (QMUL)","United Kingdom (UK)",295,67.890176418613
"Radboud University Nijmegen (RU)",Netherlands,468,67.592011642706
"The University of Sheffield","United Kingdom (UK)",275,67.57933975241
"The University of Texas MD Anderson Cancer Center","United States of America (USA)",313,67.5675720844
"University of Cologne (UoC)",Germany,259,67.397818527818
"University of Oslo (UiO)",Norway,329,66.877785177523
"University of Birmingham (UB)","United Kingdom (UK)",360,66.722479222833
"University of Bonn (Uni Bonn)",Germany,325,66.564937671121
"University of Regensburg (UR)",Germany,170,66.465589072464
"Humboldt University of Berlin (HU Berlin)",Germany,563,66.390075471429
"University of Cincinnati (UC)","United States of America (USA)",247,66.191947159901
"University of Paris-Sud (UPSud)",France,653,65.748170622757
"The University of Iowa (UI)","United States of America (USA)",315,65.318048343014
"University of Liverpool","United Kingdom (UK)",360,64.766509405097
"Shandong Normal University (SDNU)",China,131,64.490131886942
"Shaanxi Normal University (SNNU)",China,126,64.338623763121
"The University of Nottingham (UoN)","United Kingdom (UK)",227,64.155574571621
"University of Exeter","United Kingdom (UK)",226,62.879526679981
"Northwest University (NWU)",China,131,61.977169942971
"F. Hoffmann-La Roche AG",Switzerland,152,61.654788028167
"Council of Scientific and Industrial Research (CSIR)",India,144,61.012547211175
"Case Western Reserve University (CWRU)","United States of America (USA)",209,60.658129648011
"Philipps University of Marburg (Uni Marburg)",Germany,160,60.448832395995
"KTH Royal Institute of Technology",Sweden,414,60.221166216481
"ShanghaiTech University",China,263,60.200629766895
"University of St Andrews","United Kingdom (UK)",228,60.095625913802
"Tata Institute of Fundamental Research (TIFR)",India,205,59.869233617356
"University of Ottawa (uOttawa)",Canada,186,59.705997208667
"The Francis Crick Institute","United Kingdom (UK)",172,59.503167044989
"Paul Scherrer Institute (PSI)",Switzerland,272,59.490633555675
"The City University of New York (CUNY)","United States of America (USA)",208,59.384142491144
"University of the Basque Country (UPV/EHU)",Spain,291,59.295626982474
"University of Calgary (U of C)",Canada,258,59.27002844567
"Tufts University","United States of America (USA)",248,59.070055399234
"Chalmers University of Technology (Chalmers)",Sweden,179,58.766387066192
"Shanghai University (SHU)",China,148,58.312521175838
"The Hong Kong Polytechnic University (PolyU)",China,205,57.963014059265
"Homi Bhabha National Institute (HBNI)",India,210,57.389667822491
"University of Houston (UH)","United States of America (USA)",215,57.334833811997
"University of Helsinki",Finland,365,57.178260125499
"Technische Universität Berlin (TU Berlin)",Germany,189,56.509939760338
"University of Valencia (UV)",Spain,312,56.172716186131
"Medical Research Council (MRC)","United Kingdom (UK)",303,55.948349623409
"University of Connecticut (UConn)","United States of America (USA)",202,55.69149232426
"The University of Georgia (UGA)","United States of America (USA)",178,55.467635248708
"The University of Dublin",Ireland,179,55.351269946089
"University of Strasbourg",France,407,55.254597912749
"European Organization for Nuclear Research (CERN)",Switzerland,349,55.088577210589
"University of Miami (UM)","United States of America (USA)",171,54.765384626705
"Zhejiang University of Technology (ZJUT)",China,131,54.511326316057
"Nanjing Normal University (NNU)",China,159,54.434386124288
"University of Montreal (UdeM)",Canada,334,54.433321998333
"University of Notre Dame (ND)","United States of America (USA)",211,54.387649973296
"Ben-Gurion University of the Negev (BGU)",Israel,162,54.122456962436
"The University of Tennessee at Knoxville (UTK)","United States of America (USA)",304,54.114394652496
"Oregon State University","United States of America (USA)",190,53.758924496205
"University of Delaware (UD)","United States of America (USA)",162,53.540030303149
"Lawrence Livermore National Laboratory (LLNL)","United States of America (USA)",211,53.399693506713
"Ruhr University Bochum (RUB)",Germany,198,53.255399564491
"University of Massachusetts Medical School (UMass Medical School)","United States of America (USA)",226,52.668935059869
"Cardiff University","United Kingdom (UK)",214,52.475012595497
"University of Toulouse",France,415,52.371236313307
"Oregon Health and Science University (OHSU)","United States of America (USA)",159,52.311419440214
"University of Lyon",France,438,52.284328711961
"Mayo Clinic","United States of America (USA)",186,52.103855491327
"Northeast Normal University (NENU)",China,95,51.99111038815
"Henan University (HENU)",China,119,51.707449272632
"University at Buffalo, The State University of New York (SUNY UB)","United States of America (USA)",141,51.679539539522
"European Molecular Biology Laboratory (EMBL)",Germany,327,51.436720433924
"University of São Paulo (USP)",Brazil,272,51.376100715044
"The University of Western Australia (UWA)",Australia,262,51.004132896712
"University of Colorado Anschutz Medical Campus (CU Anschutz)","United States of America (USA)",158,50.872064843942
"Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC)",China,196,49.85918557396
"University of Electronic Science and Technology of China (UESTC)",China,147,49.672287527793
"Northeastern University (NEU)","United States of America (USA)",200,48.914932625037
"Washington State University (WSU)","United States of America (USA)",163,48.909756282691
"University of Kiel (CAU)",Germany,197,48.871170683318
"Vienna University of Technology (TU Wien)",Austria,202,48.827470766545
"University of Hawai'i at Manoa (UH Mānoa)","United States of America (USA)",293,48.82307150326
"Aix-Marseille University (AMU)",France,413,48.511253505429
"Hungarian Academy of Sciences (HAS)",Hungary,296,48.359678123993
"Wuhan University of Technology (WUT)",China,100,47.95551335919
"Wageningen University & Research (WUR)",Netherlands,182,47.678598091427
"Keio University",Japan,129,47.367217068989
"South China Normal University (SCNU)",China,159,47.320052687307
"Hanyang University (HYU)","South Korea",198,47.128547177983
"University of Bayreuth (UBT)",Germany,111,47.048550400981
"University of South Florida (USF)","United States of America (USA)",164,47.03616338807
"University of Gothenburg (GU)",Sweden,194,46.945464149017
"Lomonosov Moscow State University (MSU)",Russia,326,46.931503817461
"Newcastle University","United Kingdom (UK)",185,46.911640610476
"Yangzhou University (YZU)",China,103,46.866392839187
"Indian Institute of Technology Bombay (IIT Bombay)",India,112,46.31593374493
"The University of Kansas (KU)","United States of America (USA)",211,45.951302135517
"University of Tsukuba",Japan,245,45.891001774949
"National Autonomous University of Mexico (UNAM)",Mexico,183,45.83729043332
"Friedrich Schiller University Jena (FSU)",Germany,212,45.722321581725
"Dartmouth College","United States of America (USA)",159,45.525371970293
"Indian Institute of Science Education and Research Kolkata (IISER Kolkata)",India,70,45.481005379645
"Donghua University (DHU)",China,100,44.844932042359
"National Tsing Hua University (NTHU)",Taiwan,190,44.712705333734
"National Center for Atmospheric Research (NCAR)","United States of America (USA)",162,44.583705879359
"University of Konstanz",Germany,98,44.566232560175
"The University of Texas at Dallas (UT Dallas)","United States of America (USA)",160,44.357510138374
"Nanjing University of Science and Technology (NUST)",China,110,44.277032241995
"University of Montpellier",France,386,44.222071141533
"Western University (UWO)",Canada,118,43.932991737477
"University of Padova (UNIPD)",Italy,333,43.882142993537
"Anhui University (AHU)",China,116,43.850629502077
"VU Amsterdam",Netherlands,437,43.737556170614
"The University of Adelaide (Adelaide Uni)",Australia,245,43.440476875175
"Korea Institute of Science and Technology (KIST)","South Korea",177,43.385859147131
"China Agricultural University (CAU)",China,112,43.300034247851
"China Pharmaceutical University (CPU)",China,80,43.293994362701
"National Scientific and Technical Research Council (CONICET)",Argentina,283,42.978254003631
"McMaster University",Canada,116,42.973562078448
"Nanchang University (NCU)",China,110,42.873261638301
"Central China Normal University (CCNU)",China,152,42.579069405737
"Indian Association for the Cultivation of Science (IACS)",India,76,42.363020282187
"Leibniz University Hannover (LUH)",Germany,112,42.336962417416
"China Meteorological Administration (CMA)",China,128,42.027596015096
"St. Jude Children's Research Hospital (St. Jude)","United States of America (USA)",102,41.99821173232
"The University of Oklahoma (OU)","United States of America (USA)",234,41.982115093269
"Catholic University of Louvain (UCLouvain)",Belgium,180,41.852366720935
"Swiss Federal Laboratories for Materials Science and Technology (EMPA)",Switzerland,123,41.788202645545
"Grenoble Alpes University (UGA)",France,518,41.725831020324
"University of Lisbon (ULISBOA)",Portugal,225,41.580476634342
"Northwestern Polytechnical University (NPU)",China,179,41.352429145031
"Pasteur Institute",France,310,40.738019799111
"University of Nebraska-Lincoln (UNL)","United States of America (USA)",188,40.651347662605
"Perimeter Institute for Theoretical Physics (PI)",Canada,116,40.5393728223
"Charles University (CU)","Czech Republic",297,40.534801333975
"The Commonwealth Scientific and Industrial Research Organisation (CSIRO)",Australia,255,40.293042065075
"Norwegian University of Science and Technology (NTNU)",Norway,155,40.285881775429
"Italian Institute of Technology (IIT)",Italy,166,39.90451070547
"China Academy of Engineering Physics (CAEP)",China,130,39.87141090877
"Complutense University of Madrid (UCM)",Spain,204,39.465035384711
"Qingdao University of Science and Technology (QUST)",China,87,39.459405594406
"University of Kentucky (UK)","United States of America (USA)",138,39.436918005707
"Sapienza University of Rome",Italy,347,39.292320290288
"University of York","United Kingdom (UK)",166,39.18070517976
"Scientific Institute for Research, Hospitalization and Healthcare (IRCCS)",Italy,227,39.070238658574
"University of Duisburg-Essen (UDE)",Germany,137,38.941798943109
"University of Santiago de Compostela (USC)",Spain,168,38.900025367093
"Jiangnan University",China,86,38.623852131665
"Guangdong University of Technology (GDUT)",China,106,38.489346394346
"Northwest A&F University (NWAFU)",China,77,38.082382183309
"University of South Carolina - Columbia (SC)","United States of America (USA)",96,38.033351836063
"Ulm University",Germany,160,37.833096405108
"Fred Hutchinson Cancer Research Center (FHCRC)","United States of America (USA)",158,37.831305727034
"National Chiao Tung University (NCTU)",Taiwan,112,37.623119729838
"University of Warsaw (UW)",Poland,187,37.377532337969
"University of Bath","United Kingdom (UK)",127,37.182305044904
"Chinese Academy of Agricultural Sciences (CAAS)",China,138,37.103815381157
"Kanazawa University (KU)",Japan,108,37.06770269037
"University of Bordeaux",France,257,37.005600187899
"Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR)",India,56,36.775503663004
"University of Wollongong (UOW)",Australia,142,36.7249365408
"Shanxi University (SXU)",China,148,36.677932572682
"University of Florence (UNIFI)",Italy,212,36.657608064172
"University of Stuttgart",Germany,123,36.589082497919
"Leipzig University",Germany,168,36.40271840275
"Northeastern University (NEU)",China,68,36.302860150514
"Woods Hole Oceanographic Institution (WHOI)","United States of America (USA)",141,36.281027887656
"Merck & Co., Inc.","United States of America (USA)",87,36.174963637589
"National Institutes of Natural Sciences (NINS)",Japan,197,35.99143971228
"Smithsonian Institution","United States of America (USA)",264,35.93437057885
"National Research Institute for Agriculture, Food and Environment (INRAE)",France,448,35.924289701441
"Okinawa Institute of Science and Technology Graduate University (OIST)",Japan,95,35.767750377067
"The University of Alabama at Birmingham (UAB)","United States of America (USA)",145,35.728142823318
"Carnegie Institution for Science (CIS)","United States of America (USA)",150,35.627733627633
"The University of Auckland","New Zealand",202,35.564152711973
"The University of New Mexico (UNM)","United States of America (USA)",177,35.124171972023
"Hefei University of Technology (HFUT)",China,73,34.900307487297
"Boston College (BC)","United States of America (USA)",85,34.817867269756
"Aalto University",Finland,241,34.725363205901
"Salk Institute for Biological Studies (Salk)","United States of America (USA)",153,34.719604391433
"U.S. Department of Veterans Affairs","United States of America (USA)",426,34.698060727463
"University of Milan (UNIMI)",Italy,250,34.509004761144
"University of Missouri (Mizzou)","United States of America (USA)",134,34.499891983902
"Ocean University of China (OUC)",China,188,34.214308606943
"Louisiana State University (LSU)","United States of America (USA)",155,34.181668371856
"HHMI Janelia Research Campus","United States of America (USA)",90,34.115857015829
"Curtin University",Australia,169,34.02526374246
"Austrian Academy of Sciences (ÖAW)",Austria,260,34.013933271218
"Brandeis University","United States of America (USA)",124,33.991399676848
"Beijing University of Technology (BJUT)",China,118,33.800464137304
"Science and Technology Facilities Council (STFC)","United Kingdom (UK)",440,33.716109890418
"University of Innsbruck (LFU)",Austria,146,33.519160709194
"Swiss Federal Institute of Aquatic Science and Technology (EAWAG)",Switzerland,100,33.456406357947
"NWO-I, the Institutes Organisation of NWO",Netherlands,311,33.410658683808
"Kobe University",Japan,144,33.402710783181
"Waseda University",Japan,108,33.24765209135
"Albert Einstein College of Medicine (Einstein)","United States of America (USA)",139,33.159631359058
"University of Maryland, Baltimore (UMB)","United States of America (USA)",124,33.114111287557
"Temple University","United States of America (USA)",114,33.012644633146
"University of Antwerp (UA)",Belgium,180,32.886773390996
"University of Jinan (UJN)",China,66,32.850452616439
"Henan Normal University",China,97,32.720555201261
"Lancaster University","United Kingdom (UK)",189,32.638806659163
"Cleveland Clinic","United States of America (USA)",109,32.626681142586
"Heinrich Heine University Düsseldorf (HHU)",Germany,140,32.625239287016
"Indian Institute of Technology Guwahati (IIT Guwahati)",India,58,32.186069423145
"Jagiellonian University (UJ)",Poland,156,32.064232809405
"Wellcome Sanger Institute","United Kingdom (UK)",215,31.796600923661
"Laval University (UL)",Canada,148,31.743656934377
"Okayama University",Japan,132,31.669440186866
"Linköping University (LiU)",Sweden,106,31.652320485627
"The University of Texas Health Science Center at Houston (UTHealth)","United States of America (USA)",182,31.576274889417
"Université Libre de Bruxelles (ULB)",Belgium,197,31.488436910463
"University of Victoria (UVic)",Canada,187,31.434277132328
"Hunan Normal University (HUNNU)",China,85,30.914302960765
"Gwangju Institute of Science and Technology (GIST)","South Korea",72,30.896733440226
"University of Bremen (Uni Bremen)",Germany,125,30.848994243243
"Institute of Research for Development (IRD)",France,569,30.79036785341
"Indian Institute of Technology Kanpur (IIT Kanpur)",India,62,30.649039993823
"Queen's University Belfast (QUB)","United Kingdom (UK)",106,30.62163438629
"Huazhong Agricultural University (HZAU)",China,83,30.605963648334
"Hiroshima University (HU)",Japan,122,30.445964337723
"University of Bergen (UIB)",Norway,234,30.392060931173
"University of Technology Sydney (UTS)",Australia,105,30.32638927237
"AstraZeneca plc","United Kingdom (UK)",141,30.195495309579
"Yunnan University (YNU)",China,76,30.15019758214
