country	num_entries	total	doi	year	query_date
Switzerland	1	1	doi:10.1186/1471-2474-6-36	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2474-6-36	2005	2021-03-30
France	1	1	doi:10.1038/sj.bjc.6602869	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602869	2005	2021-03-30
United States	1	1	doi:10.1186/gb-2005-6-4-217	2005	2021-03-30
NA	NA	1	doi:10.1038/bioent848	2005	2021-03-30
Australia	1	1	doi:10.1186/1471-2105-6-133	2005	2021-03-30
Japan	1	1	doi:10.1007/s10368-005-0029-x	2005	2021-03-30
United States	1	1	doi:10.1007/s10368-005-0029-x	2005	2021-03-30
United States	1	1	doi:10.1038/4361095a	2005	2021-03-30
NA	NA	1	doi:10.1038/bioent860	2005	2021-03-30
Denmark	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
France	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
Germany	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
Greece	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
Italy	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
Sweden	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
United States	1	1	doi:10.1038/sj.bjc.6602763	2005	2021-03-30
NA	NA	1	doi:10.1038/436485a	2005	2021-03-30
Switzerland	1	1	doi:10.1038/4341086a	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602304	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1742-9994-2-14	2005	2021-03-30
United States	1	1	doi:10.1186/1475-2840-4-9	2005	2021-03-30
Argentina	1	1	doi:10.1186/1475-925X-4-22	2005	2021-03-30
	1	1	doi:10.1186/1471-2156-6-S1-S156	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2156-6-S1-S156	2005	2021-03-30
United States	1	1	doi:10.1038/434573a	2005	2021-03-30
Japan	1	1	doi:10.1038/sj.bjc.6602262	2005	2021-03-30
Italy	1	1	doi:10.1038/sj.bjc.6602382	2005	2021-03-30
Taiwan	1	1	doi:10.1007/s10340-005-0112-7	2005	2021-03-30
Turkey	1	1	doi:10.1007/s10340-005-0112-7	2005	2021-03-30
Norway	1	1	doi:10.1186/1751-0147-46-177	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812665	2005	2021-03-30
Algeria	1	1	doi:10.1155/ASP.2005.2187	2005	2021-03-30
Germany	1	1	doi:10.1186/cc3033	2005	2021-03-30
United States	1	1	doi:10.1038/433815a	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812992	2005	2021-03-30
United States	1	1	doi:10.1007/s11240-005-1371-y	2005	2021-03-30
Germany	1	1	doi:10.1007/s00417-005-0094-4	2005	2021-03-30
NA	NA	1	doi:10.1038/nj7037-1159a	2005	2021-03-30
Turkey	1	1	doi:10.1155/ASP.2005.1780	2005	2021-03-30
United States	1	1	doi:10.1155/ASP.2005.1780	2005	2021-03-30
France	1	1	doi:10.1155/ASP.2005.2173	2005	2021-03-30
NA	NA	1	doi:10.1038/7063xiiia	2005	2021-03-30
Singapore	1	1	doi:10.1038/sj.bjc.6602399	2005	2021-03-30
United States	1	1	doi:10.1038/sj.onc.1208813	2005	2021-03-30
Saudi Arabia	1	1	doi:10.1038/sj.bjc.6602856	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602856	2005	2021-03-30
Canada	1	1	doi:10.1186/1471-2156-6-S1-S62	2005	2021-03-30
NA	NA	1	doi:10.1038/434573b	2005	2021-03-30
Netherlands	1	1	doi:10.1186/1743-8454-2-S1-S49	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812666	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812146	2005	2021-03-30
Japan	1	1	doi:10.1038/sj.onc.1208675	2005	2021-03-30
Singapore	1	1	doi:10.1038/sj.onc.1208675	2005	2021-03-30
Portugal	1	1	doi:10.1186/cc3026	2005	2021-03-30
NA	NA	1	doi:10.1038/bioent868	2005	2021-03-30
NA	NA	1	doi:10.1038/436488a	2005	2021-03-30
Israel	1	1	doi:10.1038/sj.bjc.6602738	2005	2021-03-30
NA	NA	1	doi:10.1038/433343a	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812085	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1743-8454-2-S1-S55	2005	2021-03-30
Canada	1	1	doi:10.1007/s00348-005-0038-0	2005	2021-03-30
France	1	1	doi:10.1007/s00348-005-0038-0	2005	2021-03-30
Italy	1	1	doi:10.1186/1745-0179-1-5	2005	2021-03-30
Singapore	1	1	doi:10.1186/gb-2005-6-10-r87	2005	2021-03-30
United States	1	1	doi:10.1186/gb-2005-6-10-r87	2005	2021-03-30
United States	1	1	doi:10.1186/1744-8069-1-20	2005	2021-03-30
Australia	1	1	doi:10.1038/433820a	2005	2021-03-30
Denmark	1	1	doi:10.1038/433820a	2005	2021-03-30
Germany	1	1	doi:10.1038/433820a	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1471-2156-6-S1-S6	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2156-6-S1-S6	2005	2021-03-30
United States	1	1	doi:10.1038/437631a	2005	2021-03-30
Germany	1	1	doi:10.12942/lrr-2005-9	2005	2021-03-30
Turkey	1	1	doi:10.1007/s10340-005-0099-0	2005	2021-03-30
Canada	1	1	doi:10.1186/1476-5918-4-9	2005	2021-03-30
Israel	1	1	doi:10.1038/nature03899	2005	2021-03-30
NA	NA	1	doi:10.1038/4371214a	2005	2021-03-30
Japan	1	1	doi:10.1186/ar1822	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812145	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/4351169a	2005	2021-03-30
United States	1	1	doi:10.1038/4351169a	2005	2021-03-30
France	1	1	doi:10.1186/1471-2407-5-151	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2407-5-151	2005	2021-03-30
Czech Republic	1	1	doi:10.1155/FPTA.2005.137	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602858	2005	2021-03-30
United States	1	1	doi:10.1007/s00374-005-0004-2	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812617	2005	2021-03-30
France	1	1	doi:10.1186/cc3513	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.onc.1208965	2005	2021-03-30
Turkey	1	1	doi:10.1155/WCN.2005.79	2005	2021-03-30
United States	1	1	doi:10.1155/WCN.2005.79	2005	2021-03-30
Brazil	1	1	doi:10.1038/4361088b	2005	2021-03-30
United States	1	1	doi:10.1038/nature03288	2005	2021-03-30
Japan	1	1	doi:10.1038/sj.onc.1208050	2005	2021-03-30
United States	1	1	doi:10.1038/sj.onc.1208050	2005	2021-03-30
Netherlands	1	1	doi:10.1186/1471-2105-6-192	2005	2021-03-30
Iran	1	1	doi:10.1186/1475-2891-4-30	2005	2021-03-30
United States	1	1	doi:10.1186/1475-2891-4-30	2005	2021-03-30
India	1	1	doi:10.1186/1471-230X-5-22	2005	2021-03-30
Italy	1	1	doi:10.1186/1740-3391-3-6	2005	2021-03-30
NA	NA	1	doi:10.1038/7059xvb	2005	2021-03-30
NA	NA	1	doi:10.1038/434680a	2005	2021-03-30
United States	1	1	doi:10.1186/gb-2005-6-7-r60	2005	2021-03-30
United States	1	1	doi:10.1186/1475-2867-5-11	2005	2021-03-30
United States	1	1	doi:10.1007/s11256-005-0003-5	2005	2021-03-30
Netherlands	1	1	doi:10.1186/1743-8454-2-S1-S43	2005	2021-03-30
China	1	1	doi:10.1186/1479-5876-3-5	2005	2021-03-30
NA	NA	1	doi:10.1038/news050725-14	2005	2021-03-30
NA	NA	1	doi:10.1038/news050425-7	2005	2021-03-30
NA	NA	1	doi:10.1038/433785b	2005	2021-03-30
NA	NA	1	doi:10.1038/437596a	2005	2021-03-30
NA	NA	1	doi:10.1038/436452a	2005	2021-03-30
United States	1	1	doi:10.1038/4351160c	2005	2021-03-30
NA	NA	1	doi:10.1038/4351142b	2005	2021-03-30
Japan	1	1	doi:10.1186/1751-0147-46-159	2005	2021-03-30
Spain	1	1	doi:10.1155/ASP.2005.1462	2005	2021-03-30
Germany	1	1	doi:10.1155/ASP.2005.2153	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602419	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602814	2005	2021-03-30
NA	NA	1	doi:10.1038/436450a	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bdj.4812930	2005	2021-03-30
NA	NA	1	doi:10.1038/news050627-8	2005	2021-03-30
Egypt	1	1	doi:10.1155/ASP.2005.1886	2005	2021-03-30
NA	NA	1	doi:10.1038/news050425-10	2005	2021-03-30
United States	1	1	doi:10.1038/4351167a	2005	2021-03-30
Japan	1	1	doi:10.1038/sj.onc.1208460	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812089	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1742-4682-2-34	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2156-6-S1-S146	2005	2021-03-30
Argentina	1	1	doi:10.1007/s11102-005-0007-x	2005	2021-03-30
France	1	1	doi:10.1038/nature03458	2005	2021-03-30
United States	1	1	doi:10.1038/nature03458	2005	2021-03-30
United States	1	1	doi:10.1038/nature03476	2005	2021-03-30
France	1	1	doi:10.1186/bcr1001	2005	2021-03-30
France	1	1	doi:10.1186/1471-2229-5-20	2005	2021-03-30
United States	1	1	doi:10.1155/ASP.2005.1452	2005	2021-03-30
United States	1	1	doi:10.1038/sj.onc.1208672	2005	2021-03-30
NA	NA	1	doi:10.1038/news050124-17	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2407-5-141	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602753	2005	2021-03-30
Denmark	1	1	doi:10.1186/1751-0147-46-219	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1740-3391-3-8	2005	2021-03-30
United States	1	1	doi:10.1186/1740-3391-3-8	2005	2021-03-30
United States	1	1	doi:10.1038/sj.onc.1208245	2005	2021-03-30
NA	NA	1	doi:10.1038/nj7028-901a	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812083	2005	2021-03-30
China	1	1	doi:10.1155/ASP.2005.532	2005	2021-03-30
United States	1	1	doi:10.1155/ASP.2005.532	2005	2021-03-30
Finland	1	1	doi:10.1186/gb-2005-6-7-225	2005	2021-03-30
Israel	1	1	doi:10.1155/FPTA.2005.11	2005	2021-03-30
Italy	1	1	doi:10.1155/FPTA.2005.11	2005	2021-03-30
South Korea	1	1	doi:10.1038/nature03428	2005	2021-03-30
United States	1	1	doi:10.1038/nature03428	2005	2021-03-30
Finland	1	1	doi:10.1186/1476-0711-4-12	2005	2021-03-30
Germany	1	1	doi:10.1038/437633a	2005	2021-03-30
Canada	1	1	doi:10.1186/1471-2474-6-3	2005	2021-03-30
United States	1	1	doi:10.1186/1472-6750-5-21	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812682	2005	2021-03-30
Finland	1	1	doi:10.1186/1477-5751-4-5	2005	2021-03-30
Germany	1	1	doi:10.1038/sj.bjc.6602741	2005	2021-03-30
NA	NA	1	doi:10.1038/news050829-10	2005	2021-03-30
Canada	1	1	doi:10.1038/4351172a	2005	2021-03-30
United States	1	1	doi:10.1007/s00894-005-0039-1	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1476-9255-2-15	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4812093	2005	2021-03-30
Germany	1	1	doi:10.1038/sj.onc.1208696	2005	2021-03-30
Germany	1	1	doi:10.1038/sj.onc.1208978	2005	2021-03-30
Israel	1	1	doi:10.1038/sj.onc.1208978	2005	2021-03-30
United States	1	1	doi:10.1038/sj.onc.1208978	2005	2021-03-30
United States	1	1	doi:10.1186/1472-6807-5-11	2005	2021-03-30
NA	NA	1	doi:10.1038/436463b	2005	2021-03-30
Italy	1	1	doi:10.1155/FPTA.2005.67	2005	2021-03-30
United States	1	1	doi:10.1038/436468a	2005	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4813004	2005	2021-03-30
Canada	1	1	doi:10.1186/1746-1340-13-14	2005	2021-03-30
Canada	1	1	doi:10.1038/sj.onc.1208441	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/4351171a	2005	2021-03-30
Germany	1	1	doi:10.1186/1477-7819-3-42	2005	2021-03-30
United States	1	1	doi:10.1186/1741-7007-3-9	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2156-6-S1-S83	2005	2021-03-30
Germany	1	1	doi:10.1038/nature04164	2005	2021-03-30
Hungary	1	1	doi:10.1007/s11224-005-8229-0	2005	2021-03-30
Russia	1	1	doi:10.1007/s11224-005-8229-0	2005	2021-03-30
NA	NA	1	doi:10.1038/433787a	2005	2021-03-30
Georgia	1	1	doi:10.1155/JIA.2005.547	2005	2021-03-30
France	1	1	doi:10.1186/1471-2334-5-18	2005	2021-03-30
United States	1	1	doi:10.1186/bcr1307	2005	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.onc.1208752	2005	2021-03-30
Japan	1	1	doi:10.1186/1742-4690-2-27	2005	2021-03-30
Austria	1	1	doi:10.1186/1471-2431-5-21	2005	2021-03-30
Denmark	1	1	doi:10.1186/1471-2431-5-21	2005	2021-03-30
Italy	1	1	doi:10.1186/1471-2431-5-21	2005	2021-03-30
Sweden	1	1	doi:10.1186/1471-2431-5-21	2005	2021-03-30
United Kingdom	1	1	doi:10.1186/1471-2431-5-21	2005	2021-03-30
United States	1	1	doi:10.1186/1471-2431-5-21	2005	2021-03-30
	1	1	doi:10.1186/1743-8454-2-S1-S38	2005	2021-03-30
China	1	1	doi:10.1155/ADE.2005.205	2005	2021-03-30
Ireland	1	1	doi:10.1155/ADE.2005.205	2005	2021-03-30
Ireland	1	1	doi:10.1186/1477-7827-3-8	2005	2021-03-30
United States	1	1	doi:10.1186/1477-7827-3-8	2005	2021-03-30
Chile	1	1	doi:10.1007/s10021-006-0065-6	2006	2021-03-30
Mexico	1	1	doi:10.1007/s10021-006-0065-6	2006	2021-03-30
United States	1	1	doi:10.1007/s10021-006-0065-6	2006	2021-03-30
Japan	1	1	doi:10.1557/PROC-980-0980-II05-37	2006	2021-03-30
Brazil	1	1	doi:10.1007/s10453-006-9022-2	2006	2021-03-30
Spain	1	1	doi:10.1007/s10453-006-9022-2	2006	2021-03-30
Japan	1	1	doi:10.1007/s11284-006-0054-4	2006	2021-03-30
Germany	1	1	doi:10.1007/s00419-006-0050-8	2006	2021-03-30
Australia	1	1	doi:10.1186/1475-2891-5-20	2006	2021-03-30
United Kingdom	1	1	doi:10.1186/1475-2891-5-20	2006	2021-03-30
Iran	1	1	doi:10.1186/1744-859X-5-S1-S68	2006	2021-03-30
United States	1	1	doi:10.1186/gb-2006-7-5-r42	2006	2021-03-30
China	1	1	doi:10.1186/1479-5876-4-23	2006	2021-03-30
United States	1	1	doi:10.1007/s10897-005-9010-7	2006	2021-03-30
United States	1	1	doi:10.1186/1475-2867-6-16	2006	2021-03-30
Belgium	1	1	doi:10.1186/1471-2202-7-72	2006	2021-03-30
Canada	1	1	doi:10.1186/1471-2202-7-72	2006	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4813587	2006	2021-03-30
Bulgaria	1	1	doi:10.1155/BSB/2006/85759	2006	2021-03-30
Netherlands	1	1	doi:10.1186/1751-0147-48-S1-P6	2006	2021-03-30
Spain	1	1	doi:10.1007/s10453-006-9019-x	2006	2021-03-30
Netherlands	1	1	doi:10.1186/1471-2202-7-S1-S9	2006	2021-03-30
United Kingdom	1	1	doi:10.1186/1471-2202-7-S1-S9	2006	2021-03-30
NA	NA	1	doi:10.1038/442009a	2006	2021-03-30
China	1	1	doi:10.1186/1479-5876-4-30	2006	2021-03-30
United States	1	1	doi:10.1186/1479-5876-4-30	2006	2021-03-30
NA	NA	1	doi:10.1038/news060327-14	2006	2021-03-30
Canada	1	1	doi:10.1186/1477-7827-4-49	2006	2021-03-30
South Korea	1	1	doi:10.1186/1477-7827-4-49	2006	2021-03-30
NA	NA	1	doi:10.1038/444524a	2006	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4813678	2006	2021-03-30
Germany	1	1	doi:10.1038/sj.onc.1209719	2006	2021-03-30
United States	1	1	doi:10.1186/1471-2164-7-325	2006	2021-03-30
United States	1	1	doi:10.1186/1471-2229-6-19	2006	2021-03-30
Italy	1	1	doi:10.1038/442981a	2006	2021-03-30
United States	1	1	doi:10.1038/442981a	2006	2021-03-30
Brazil	1	1	doi:10.1557/PROC-0891-EE10-09	2006	2021-03-30
United States	1	1	doi:10.1557/PROC-0891-EE10-09	2006	2021-03-30
France	1	1	doi:10.1186/1472-6750-6-26	2006	2021-03-30
United States	1	1	doi:10.1186/1471-230X-6-40	2006	2021-03-30
United States	1	1	doi:10.1186/1471-2199-7-16	2006	2021-03-30
United States	1	1	doi:10.1186/1744-859X-5-S1-S188	2006	2021-03-30
United States	1	1	doi:10.1038/440618a	2006	2021-03-30
NA	NA	1	doi:10.1038/news060424-16	2006	2021-03-30
Iran	1	1	doi:10.1186/1744-859X-5-S1-S110	2006	2021-03-30
NA	NA	1	doi:10.1038/news060327-18	2006	2021-03-30
United States	1	1	doi:10.1186/1744-859X-5-S1-S16	2006	2021-03-30
China	1	1	doi:10.1557/PROC-0891-EE10-37	2006	2021-03-30
United States	1	1	doi:10.1007/s10826-006-9052-y	2006	2021-03-30
NA	NA	1	doi:10.1038/4401108a	2006	2021-03-30
Ethiopia	1	1	doi:10.1038/442030a	2006	2021-03-30
Australia	1	1	doi:10.1007/s10021-005-0155-x	2006	2021-03-30
Germany	1	1	doi:10.1038/nature05278	2006	2021-03-30
Spain	1	1	doi:10.1155/ADE/2006/38121	2006	2021-03-30
United States	1	1	doi:10.1155/ADE/2006/38121	2006	2021-03-30
NA	NA	1	doi:10.1038/nj7098-105a	2006	2021-03-30
United States	1	1	doi:10.1186/1471-2342-6-14	2006	2021-03-30
NA	NA	1	doi:10.1038/444529b	2006	2021-03-30
United States	1	1	doi:10.1038/nature05015	2006	2021-03-30
France	1	1	doi:10.1186/1471-2407-6-216	2006	2021-03-30
Spain	1	1	doi:10.1186/1471-244X-6-26	2006	2021-03-30
Greece	1	1	doi:10.1186/1744-859X-5-S1-S320	2006	2021-03-30
United Kingdom	1	1	doi:10.1038/sj.bjc.6602928	2006	2021-03-30
United States	1	1	doi:10.1038/sj.bjc.6602928	2006	2021-03-30
NA	NA	1	doi:10.1038/sj.bdj.4813189	2006	2021-03-30
NA	NA	1	doi:10.1038/4401089a	2006	2021-03-30
Ecuador	1	1	doi:10.1007/s10681-006-9230-4	2006	2021-03-30
Netherlands	1	1	doi:10.1007/s10681-006-9230-4	2006	2021-03-30
Japan	1	1	doi:10.1007/s11101-006-9012-6	2006	2021-03-30
Canada	1	1	doi:10.1186/1471-2105-7-523	2006	2021-03-30
Philippines	1	1	doi:10.1186/1471-2105-7-523	2006	2021-03-30
Italy	1	1	doi:10.1186/cc5113	2006	2021-03-30
United Kingdom	1	1	doi:10.1186/1744-859X-5-20	2006	2021-03-30
NA	NA	1	doi:10.1038/4401106a	2006	2021-03-30
NA	NA	1	doi:10.1038/news060925-12	2006	2021-03-30
Singapore	1	1	doi:10.1038/sj.onc.1209531	2006	2021-03-30
NA	NA	1	doi:10.1038/news060130-2	2006	2021-03-30
NA	NA	1	doi:10.1038/442964a	2006	2021-03-30
India	1	1	doi:10.1007/s00521-006-0054-x	2006	2021-03-30
Greece	1	1	doi:10.1186/1744-859X-5-S1-S146	2006	2021-03-30
